,LifetimeB1,LifetimeB2,ATLASlumi,CMSlumi,IntB1,IntB2,Ene,Betastar_IP1,Betastar_IP5,Xing_IP1,Xing_IP5,BMode
1525598461.785,2.5,6.277,0.0,0.0,7400000000.0,8690000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598471.785,2.568,6.21,0.0,0.0,7650000000.0,8610000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598481.785,2.526,6.308,0.0,0.0,6760000000.0,8580000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598491.785,2.59,6.479,0.002219264,0.000172885,6880000000.0,7860000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598501.785,2.642,6.218,0.0,0.0,8060000000.0,8610000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598511.785,2.668,6.466,0.001165042,0.0,8110000000.0,8330000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598521.785,2.6,6.544,0.001104813,0.0,7230000000.0,8100000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598531.785,2.597,6.417,0.001195157,0.0,7410000000.0,8220000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598541.785,2.639,6.595,0.002490413,0.0,8390000000.0,8450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598551.785,2.745,6.48,0.000637492,0.0,6780000000.0,8690000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598561.785,2.706,6.179,0.0,0.0,8630000000.0,8560000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598571.785,2.679,6.141,0.0,0.0,7660000000.0,8630000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598581.785,2.603,6.241,0.005054709,0.0,6580000000.0,8450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598591.785,2.588,6.34,0.004406421,0.0,6930000000.0,8340000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598601.785,2.622,6.156,0.002748685,0.0,6460000000.0,8130000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598611.785,2.666,6.578,0.003140426,0.0,6620000000.0,8230000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598621.785,2.592,6.292,0.001634026,0.0,7400000000.0,8740000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598631.785,2.577,6.536,0.005024552,0.0,7780000000.0,8340000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598641.785,2.549,6.245,0.002794016,0.0,7460000000.0,8830000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598651.785,2.612,6.305,0.0,0.0,6990000000.0,8370000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598661.785,2.567,6.344,0.000715646,0.0,7720000000.0,8730000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598671.785,2.609,6.334,0.0,0.0,8200000000.0,9120000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598681.785,2.56,6.747,0.00172452,0.0,7870000000.0,9150000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598691.785,2.61,6.454,0.001152279,0.0,7200000000.0,8780000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598701.785,2.702,6.729,0.0,0.0,6320000000.0,8480000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598711.785,2.546,6.674,0.0,0.0,7260000000.0,8590000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598721.785,2.652,6.333,0.0,0.0,7720000000.0,8120000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598731.785,2.893,6.753,0.0,0.0,7140000000.0,8400000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598741.785,2.647,6.157,0.001080816,0.0,6990000000.0,8110000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598751.785,2.602,6.274,0.0,0.0,7120000000.0,8450000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598761.785,2.636,6.325,0.000645752,0.0,7740000000.0,8080000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598771.785,2.631,6.34,0.0,0.0,6580000000.0,8700000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598781.785,2.673,6.263,0.0,0.0,6110000000.0,8150000000.0,494.0,48.0,45.0,170.0,170.0,2.0
1525598791.785,2.562,6.08,0.0,0.0,6820000000.0,8530000000.0,494.0,48.0,45.0,170.0,170.0,2.0
